iter	RMSE
264	13243.47501
265	13213.87999
266	13209.57937
267	13186.30304
268	13147.97288
269	13132.28896
270	13127.32599
271	13102.58165
272	13098.73664
273	13094.06344
274	13064.37258
275	13039.20232
276	13009.90842
277	12981.7066
278	12952.90582
279	12934.66832
280	12931.08995
281	12914.67965
282	12891.09571
283	12849.00906
284	12818.37215
285	12792.97033
286	12778.94058
287	12757.47185
288	12753.96046
289	12745.71443
290	12707.57187
291	12681.28971
292	12672.92091
293	12669.73597
294	12658.32753
295	12637.377
296	12602.30954
297	12567.82456
298	12549.27519
299	12523.08185
300	12519.47818
301	12491.74576
302	12451.03198
303	12445.61846
304	12430.9568
305	12396.19081
306	12364.4686
307	12346.26506
308	12324.20676
309	12309.66596
310	12290.1017
311	12286.80341
312	12283.5486
313	12267.15028
314	12244.95876
315	12226.76261
316	12205.7028
317	12202.8266
318	12177.25406
319	12140.16497
320	12110.35915
321	12080.46866
322	12058.41557
323	12055.3734
324	12034.91375
325	12029.88714
326	12024.78054
327	12022.40657
328	11989.03626
329	11945.85425
330	11921.76876
331	11886.0465
332	11855.9811
333	11820.9173
334	11817.75443
335	11790.02643
336	11783.7744
337	11749.5501
338	11726.72598
339	11706.84516
340	11696.55888
341	11670.98471
342	11650.24503
343	11626.50923
344	11599.23765
345	11595.54167
346	11570.53765
347	11559.21387
348	11537.6763
349	11518.03561
350	11481.9647
351	11443.51943
352	11417.68944
353	11403.41152
354	11383.2017
355	11353.60447
356	11329.51276
357	11326.64641
358	11298.51176
359	11270.91302
360	11250.25325
361	11230.93038
362	11209.67169
363	11176.91368
364	11149.38266
365	11137.9149
366	11122.08276
367	11101.23661
368	11085.05755
369	11078.30136
370	11057.18892
371	11030.53425
372	11009.31686
373	10982.83206
374	10948.78604
375	10926.19355
376	10894.16755
377	10849.66662
378	10830.06426
379	10809.74633
380	10783.01018
381	10754.55671
382	10729.07852
383	10704.93795
384	10677.58475
385	10650.6956
386	10620.927
387	10604.96679
388	10588.27746
389	10585.2926
390	10573.17467
391	10552.59926
392	10528.55432
393	10515.15322
394	10485.93703
395	10481.37821
396	10461.8819
397	10440.41091
398	10426.5122
399	10424.33637
400	10406.62055
401	10389.64397
402	10387.31437
403	10369.57643
404	10351.06779
405	10332.64374
406	10308.75242
407	10289.75516
408	10268.49189
409	10245.43691
410	10226.60665
411	10204.21789
412	10202.0858
413	10198.4428
414	10177.4091
415	10155.53648
416	10134.33714
417	10108.91566
418	10089.06719
419	10087.07659
420	10078.16266
421	10056.27174
422	10037.68554
423	10020.89601
424	9992.084377
425	9961.942478
426	9947.015154
427	9916.426677
428	9899.952558
429	9876.362275
430	9850.758009
431	9834.309395
432	9832.459117
433	9810.818923
434	9793.192642
435	9764.062008
436	9740.290094
437	9725.522564
438	9704.969983
439	9687.214854
440	9673.386713
441	9665.822753
442	9639.283841
443	9619.834938
444	9601.543124
445	9593.079296
446	9581.427133
447	9558.59734
448	9537.796102
449	9515.700861
450	9501.455956
451	9499.666719
452	9492.566021
453	9476.148341
454	9456.391726
455	9437.207485
456	9435.437555
457	9420.648623
458	9405.896685
459	9386.197918
460	9366.700345
461	9353.281669
462	9351.682203
463	9340.71656
464	9339.319795
465	9336.85849
466	9317.613029
467	9291.460375
468	9275.11781
469	9254.90924
470	9230.29303
471	9211.67592
472	9210.124235
473	9193.139736
474	9180.005256
475	9160.609519
476	9148.290286
477	9133.132247
478	9114.621034
479	9101.801235
480	9088.335519
481	9080.778872
482	9068.759279
483	9058.674396
484	9041.586687
485	9023.786962
486	9018.147368
487	9001.611528
488	8992.764955
489	8984.292269
490	8982.918619
491	8955.327563
492	8944.141546
493	8937.032543
494	8912.5646
495	8900.030428
496	8892.02579
497	8873.461242
498	8852.339137
499	8835.460602
