Model,MAE,MSE,RMSE,R2
Linear Regression (VIF),22207.46605703084,1504840229.7420442,38792.27023186506,0.8038101393481801
Decision Tree (Tuned),26995.610378614914,1647438328.1234398,38792.27023186506,0.785219261394674
Random Forest (Tuned),17637.005136433872,819350181.8802426,38792.27023186506,0.8931792260526666
Gradient Boosting (Tuned),16166.14918190724,651885751.0189697,38792.27023186506,0.9150119912229874
XGBoost (Tuned),16353.669921875,630128704.0,38792.27023186506,0.917848527431488
LightGBM (Tuned),16622.998330064245,897922918.3858836,38792.27023186506,0.8829354979003987
CatBoost (Tuned),15524.677055572261,647451895.7472011,38792.27023186506,0.9155900442486349
