Model,MAE,MSE,RMSE,R2
Linear Regression,21057.156713698474,1669732216.1883729,40862.35695831033,0.7823127503203413
Decision Tree,25757.880136986303,1454466199.0856164,38137.46450782506,0.8103775302642571
Random Forest,17462.50198630137,830439337.5353663,28817.344387284655,0.8917335045337131
Gradient Boosting,17468.04703075142,719977538.2518985,26832.397176769326,0.9061346911716379
XGBoost,17893.177734375,822444288.0,28678.289488740433,0.89277583360672
LightGBM,16440.84634262819,811472461.5850893,28486.355709095,0.8942062645491222
CatBoost,15530.090702253505,651852033.9259907,25531.39310586069,0.915016387006435
